country,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality Rate (per 100)
Timor-Leste,24,0,21,3,1.8203303596214317,0.0
Togo,174,11,89,74,2.1017698714187927,6.32
Trinidad and Tobago,116,8,107,1,8.288727830332599,6.9
Tunisia,1032,45,700,287,8.731985414876764,4.36
Turkey,138657,3786,92691,42180,164.4042374810715,2.73
Uganda,121,0,55,66,0.2645329135786275,0.0
Ukraine,15648,408,3288,11952,35.7801395484893,2.61
United Arab Emirates,18198,198,4804,13196,183.9966027663189,1.09
Uruguay,707,19,517,171,20.352779593790764,2.69
Uzbekistan,2482,10,1982,490,7.415773529566692,0.4
Venezuela,414,10,193,211,1.4559038889619382,2.42
Vietnam,288,0,249,39,0.29587445299054743,0.0
West Bank and Gaza,375,2,301,72,7.350900220644621,0.53
Western Sahara,6,0,5,1,1.004469891015017,0.0
Yemen,51,8,1,42,0.1709919356179823,15.69
Zambia,267,7,117,143,1.4523533454932116,2.62
Zimbabwe,36,4,9,23,0.2422133944410815,11.11
